Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
0; 1000; -1; 4; 8; 1920; 1080; 0.287977; 0.528573; 0.470768; 1.89189; 3.4725; 2.20396
0; 1000; -1; 4; 16; 800; 600; 0.0938736; 0.124277; 0.108898; 8.04655; 10.6526; 9.18923
0; 1000; -1; 4; 16; 1920; 1080; 0.462191; 0.491871; 0.470867; 2.03306; 2.16361; 2.12395
0; 1000; -1; 16; 4; 800; 600; 0.319429; 0.342146; 0.329557; 2.92273; 3.13059; 3.03497
0; 1000; -1; 16; 4; 1920; 1080; 1.35205; 1.38589; 1.36906; 0.72156; 0.739617; 0.730449
0; 1000; -1; 16; 8; 800; 600; 0.43711; 0.514168; 0.449574; 1.94489; 2.28775; 2.22508
0; 1000; -1; 16; 8; 1920; 1080; 1.62671; 1.75077; 1.6973; 0.571177; 0.614738; 0.589236
0; 1000; -1; 16; 16; 800; 600; 0.434598; 0.467397; 0.449486; 2.13951; 2.30097; 2.22519
0; 1000; -1; 16; 16; 1920; 1080; 1.70589; 1.78278; 1.73462; 0.560921; 0.586204; 0.576548
0; 1000; -1; 32; 4; 800; 600; 0.629996; 0.66105; 0.646067; 1.51274; 1.58731; 1.54798
0; 1000; -1; 32; 4; 1920; 1080; 2.84546; 3.00491; 2.87728; 0.332788; 0.351436; 0.347569
0; 1000; -1; 32; 8; 800; 600; 0.850887; 0.911614; 0.875816; 1.09696; 1.17524; 1.14201
0; 1000; -1; 32; 8; 1920; 1080; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
0; 1000; -1; 32; 16; 800; 600; 0.836588; 0.883133; 0.855452; 1.13233; 1.19533; 1.16917
0; 1000; -1; 32; 16; 1920; 1080; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
1; 10; 1; 4; 4; 800; 600; 0.0051988; 0.0062847; 0.00604926; 159.117; 192.352; 165.379
1; 10; 5; 4; 4; 800; 600; 0.0004155; 0.0070317; 0.00589165; 142.213; 2406.74; 195.378
1; 10; 10; 4; 4; 800; 600; 0.0046269; 0.0063667; 0.00602454; 157.067; 216.127; 166.217
1; 10; 1; 4; 4; 1920; 1080; 0.004945; 0.0067317; 0.0060454; 148.551; 202.224; 165.557
1; 10; 5; 4; 4; 1920; 1080; 0.0052105; 0.0063535; 0.00604824; 157.394; 191.92; 165.432
1; 10; 10; 4; 4; 1920; 1080; 0.0035822; 0.0084341; 0.00605739; 118.566; 279.158; 165.985
1; 10; 1; 4; 8; 800; 600; 0.0041783; 0.0077744; 0.00607031; 128.627; 239.332; 165.199
1; 10; 5; 4; 8; 800; 600; 0.0036439; 0.0072053; 0.0060228; 138.787; 274.431; 166.661
1; 10; 10; 4; 8; 800; 600; 0.0049922; 0.0069382; 0.00605558; 144.13; 200.312; 165.308
1; 10; 1; 4; 8; 1920; 1080; 0.004941; 0.0073308; 0.00606147; 136.411; 202.388; 165.137
1; 10; 5; 4; 8; 1920; 1080; 0.0039062; 0.0063479; 0.00603882; 157.532; 256.003; 165.953
1; 10; 10; 4; 8; 1920; 1080; 0.0055531; 0.006317; 0.00604893; 158.303; 180.08; 165.368
1; 10; 1; 4; 16; 800; 600; 0.003921; 0.0077542; 0.00603263; 128.962; 255.037; 166.415
1; 10; 5; 4; 16; 800; 600; 0.0038938; 0.0063423; 0.00601857; 157.672; 256.819; 166.588
1; 10; 10; 4; 16; 800; 600; 0.0028889; 0.0068968; 0.00602516; 144.995; 346.153; 167.015
1; 10; 1; 4; 16; 1920; 1080; 0.004115; 0.0063571; 0.00603375; 157.304; 243.013; 166.018
1; 10; 5; 4; 16; 1920; 1080; 0.0043483; 0.0065269; 0.00603198; 153.212; 229.975; 166.055
1; 10; 10; 4; 16; 1920; 1080; 0.0052573; 0.0062901; 0.00604293; 158.98; 190.212; 165.577
1; 10; 1; 16; 4; 800; 600; 0.0036803; 0.0064402; 0.00602375; 155.275; 271.717; 166.498
1; 10; 5; 16; 4; 800; 600; 0.0037586; 0.006316; 0.0059888; 158.328; 266.057; 167.85
1; 10; 10; 16; 4; 800; 600; 0.0039157; 0.0066213; 0.00600557; 151.028; 255.382; 167.112
1; 10; 1; 16; 4; 1920; 1080; 0.0025595; 0.0065673; 0.00594165; 152.27; 390.701; 171.279
1; 10; 5; 16; 4; 1920; 1080; 0.0044427; 0.0076214; 0.00671928; 131.209; 225.088; 149.51
1; 10; 10; 16; 4; 1920; 1080; 0.0022244; 0.0076381; 0.00639419; 130.923; 449.559; 159.305
1; 10; 1; 16; 8; 800; 600; 0.0044741; 0.0062828; 0.00603874; 159.165; 223.509; 165.775
1; 10; 5; 16; 8; 800; 600; 0.004004; 0.008235; 0.00603191; 121.433; 249.75; 166.401
1; 10; 10; 16; 8; 800; 600; 0.0028798; 0.0063283; 0.00601323; 158.02; 347.246; 167.367
1; 10; 1; 16; 8; 1920; 1080; 0.0033886; 0.0087039; 0.00602705; 114.891; 295.107; 167.024
1; 10; 5; 16; 8; 1920; 1080; 0.0032659; 0.0083915; 0.00696547; 119.168; 306.194; 146.287
1; 10; 10; 16; 8; 1920; 1080; 0.0047342; 0.0082918; 0.00688294; 120.601; 211.229; 146.31
1; 10; 1; 16; 16; 800; 600; 0.0052345; 0.0063777; 0.0060455; 156.796; 191.04; 165.502
1; 10; 5; 16; 16; 800; 600; 0.0042931; 0.0065189; 0.00603613; 153.4; 232.932; 165.916
1; 10; 10; 16; 16; 800; 600; 0.0036078; 0.0063167; 0.00602869; 158.311; 277.177; 166.39
1; 10; 1; 16; 16; 1920; 1080; 0.000559; 0.0104029; 0.00600916; 96.127; 1788.91; 183.022
1; 10; 5; 16; 16; 1920; 1080; 0.0028499; 0.0081517; 0.00692339; 122.674; 350.89; 146.963
1; 10; 10; 16; 16; 1920; 1080; 0.0006701; 0.0122248; 0.00662531; 81.8009; 1492.31; 185.89
1; 10; 1; 32; 4; 800; 600; 0.0019788; 0.0062921; 0.0059492; 158.929; 505.357; 171.766
1; 10; 5; 32; 4; 800; 600; 0.0001194; 0.0119278; 0.00588894; 83.8378; 8375.21; 297.667
1; 10; 10; 32; 4; 800; 600; 0.0029085; 0.0063413; 0.00598121; 157.696; 343.82; 168.964
1; 10; 1; 32; 4; 1920; 1080; 0.004411; 0.0168865; 0.0102205; 59.2189; 226.706; 100.879
1; 10; 5; 32; 4; 1920; 1080; 0.0081165; 0.0174333; 0.0128719; 57.3615; 123.206; 78.163
1; 10; 10; 32; 4; 1920; 1080; 0.0076892; 0.0169699; 0.0124471; 58.9279; 130.053; 80.9198
1; 10; 1; 32; 8; 800; 600; 0.0049396; 0.0062557; 0.00603226; 159.854; 202.446; 165.9
1; 10; 5; 32; 8; 800; 600; 0.0024004; 0.0066743; 0.0059873; 149.828; 416.597; 168.767
1; 10; 10; 32; 8; 800; 600; 0.0023577; 0.006376; 0.00597756; 156.838; 424.142; 169.609
1; 10; 1; 32; 8; 1920; 1080; 0.0006814; 0.0119789; 0.0101466; 83.4801; 1467.57; 121.165
1; 10; 5; 32; 8; 1920; 1080; 0.0064178; 0.0180875; 0.0136741; 55.2868; 155.817; 73.8536
1; 10; 10; 32; 8; 1920; 1080; 0.01031; 0.015066; 0.0131035; 66.3746; 96.9932; 76.5455
1; 10; 1; 32; 16; 800; 600; 0.0041276; 0.0063121; 0.00601719; 158.426; 242.272; 166.597
1; 10; 5; 32; 16; 800; 600; 0.0049035; 0.0064278; 0.00604497; 155.574; 203.936; 165.584
1; 10; 10; 32; 16; 800; 600; 0.0029084; 0.0062937; 0.00599847; 158.889; 343.832; 167.754
1; 10; 1; 32; 16; 1920; 1080; 0.0071973; 0.0118048; 0.0106073; 84.7113; 138.941; 94.5938
1; 10; 5; 32; 16; 1920; 1080; 0.0063312; 0.014853; 0.0132619; 67.3265; 157.948; 76.0918
1; 10; 10; 32; 16; 1920; 1080; 0.0053541; 0.0162998; 0.0131446; 61.3504; 186.773; 78.486
1; 100; 1; 4; 4; 800; 600; 0.0043852; 0.006535; 0.00603227; 153.022; 228.04; 166.042
1; 100; 5; 4; 4; 800; 600; 0.0046192; 0.0085243; 0.00684668; 117.312; 216.488; 147.15
1; 100; 10; 4; 4; 800; 600; 0.0043143; 0.0096959; 0.00715029; 103.136; 231.787; 141.101
1; 100; 1; 4; 4; 1920; 1080; 0.0058169; 0.0085058; 0.00742609; 117.567; 171.913; 135.138
1; 100; 5; 4; 4; 1920; 1080; 0.0133189; 0.0180793; 0.0154856; 55.3119; 75.0813; 64.6807
1; 100; 10; 4; 4; 1920; 1080; 0.014152; 0.0179058; 0.0159193; 55.8478; 70.6614; 62.9374
1; 100; 1; 4; 8; 800; 600; 0.0054819; 0.0064305; 0.0060454; 155.509; 182.419; 165.481
